Year,Destination,Trips_Thousand,YoY_Change_Thousand,YoY_Change_Pct
2019,United Kingdom (includes Great Britain & Northern Ireland),1202.4,1198.9,34254.28571428572
2021,United Kingdom (includes Great Britain & Northern Ireland),1083.0,-119.40000000000009,-9.930139720558884
2021,United Kingdom (includes Great Britain & Northern Ireland),4757.0,3674.0,339.2428439519852
2021,United Kingdom (includes Great Britain & Northern Ireland),4.4,-4752.6,-99.90750472987176
2021,United Kingdom (includes Great Britain & Northern Ireland),484.0,479.6,10899.999999999998
2022,United Kingdom (includes Great Britain & Northern Ireland),2550.0,2066.0,426.8595041322314
2022,United Kingdom (includes Great Britain & Northern Ireland),8090.0,5540.0,217.2549019607843
2022,United Kingdom (includes Great Britain & Northern Ireland),3.2,-8086.8,-99.96044499381954
2022,United Kingdom (includes Great Britain & Northern Ireland),1088.0,1084.8,33900.0
2023,United Kingdom (includes Great Britain & Northern Ireland),4412.0,3324.0,305.5147058823529
2023,United Kingdom (includes Great Britain & Northern Ireland),13146.0,8734.0,197.96010879419765
2023,United Kingdom (includes Great Britain & Northern Ireland),3.0,-13143.0,-99.97717937015061
2023,United Kingdom (includes Great Britain & Northern Ireland),1791.0,1788.0,59600.0
2024,United Kingdom (includes Great Britain & Northern Ireland),4241.0,2450.0,136.79508654383028
2024,United Kingdom (includes Great Britain & Northern Ireland),13067.0,8826.0,208.1112945060127
2024,United Kingdom (includes Great Britain & Northern Ireland),3.1,-13063.9,-99.97627611540521
2024,United Kingdom (includes Great Britain & Northern Ireland),1993.0,1989.9,64190.32258064516
2010,United States and Canada,452.0,,
2010,United States and Canada,5947.0,5495.0,1215.7079646017698
2010,United States and Canada,13.1,-5933.9,-99.77972086766437
2010,United States and Canada,876.5,863.4,6590.839694656489
2011,United States and Canada,410.0,-466.5,-53.223046206503135
2011,United States and Canada,5725.0,5315.0,1296.341463414634
2011,United States and Canada,14.0,-5711.0,-99.75545851528385
2011,United States and Canada,785.1,771.1,5507.857142857143
2012,United States and Canada,388.0,-397.1,-50.579544007132846
2012,United States and Canada,5838.0,5450.0,1404.639175257732
2012,United States and Canada,15.0,-5823.0,-99.74306269270298
2012,United States and Canada,787.0,772.0,5146.666666666667
2013,United States and Canada,404.0,-383.0,-48.665819567979675
2013,United States and Canada,5691.0,5287.0,1308.6633663366338
2013,United States and Canada,14.1,-5676.9,-99.75224037954665
2013,United States and Canada,819.0,804.9,5708.510638297872
2014,United States and Canada,453.0,-366.0,-44.688644688644686
2014,United States and Canada,6295.0,5842.0,1289.6247240618102
2014,United States and Canada,13.9,-6281.1,-99.77918983320096
2014,United States and Canada,890.2,876.3000000000001,6304.3165467625895
2015,United States and Canada,422.0,-468.20000000000005,-52.59492248932824
2015,United States and Canada,5877.0,5455.0,1292.654028436019
2015,United States and Canada,13.9,-5863.1,-99.76348477114175
2015,United States and Canada,925.7,911.8000000000001,6559.712230215827
2016,United States and Canada,492.0,-433.70000000000005,-46.85103165172302
2016,United States and Canada,6334.0,5842.0,1187.3983739837397
